,timestamp,close,volume,ret,rw_mean,rw_std,zscore,ema_fast,ema_slow,mom,ret_sign,ret_sign_sum,ret_lag1,ret_lag2,ret_lag3,labels,weights,t1
280,2025-10-28 14:45:08.437,25678.38280000002,0.26178,2.625983866228124e-05,-1.6102489430496784e-05,3.25897828910663e-05,1.299865315466353,114633.20887292484,114682.96358048028,-49.75470755544666,0.0,-7.0,0.0,0.0,0.0,1.0,0.8124654082365542,284.0
284,2025-10-28 14:45:08.683,25683.41704,0.05775,6.429443468452735e-05,-7.340778078956592e-06,2.787193188875569e-05,2.570156002394039,114630.57001521194,114675.7537686105,-45.183753398567205,0.0,-2.0,0.0,0.0,0.0,1.0,0.8124983131231703,289.0
286,2025-10-28 14:45:08.749,25679.20064000001,0.23489,9.50859535586929e-06,4.366314129193351e-06,1.5309195488569887e-05,0.3358949452051358,114630.93463830274,114672.96911274744,-42.03447444469202,0.0,1.0,0.0,6.429443468452735e-05,0.0,1.0,0.8125148664038123,288.0
288,2025-10-28 14:45:08.843,25684.17312000002,0.12554,5.3822179470245205e-05,5.007505592045808e-06,1.5238925590439897e-05,3.203288430072289,114631.43084904147,114670.43436750169,-39.00351846021658,0.0,4.0,0.0,9.50859535586929e-06,0.0,-1.0,0.8125396508749909,296.0
295,2025-10-28 14:45:09.260,25676.86456,0.20264,-1.578910156854633e-05,6.429405615114173e-06,2.012891617938038e-05,-1.1038103981540495,114634.53402167314,114663.62603650581,-29.09201483266952,0.0,4.0,0.0,0.0,0.0,-1.0,0.8126163621023211,296.0
296,2025-10-28 14:45:09.774,25665.680560000008,0.06121,-0.00010704098044060145,5.639950536686856e-06,2.0695984969202328e-05,-5.444579271680416,114634.5907815138,114662.69174022693,-28.1009587131266,-1.0,4.0,-1.578910156854633e-05,0.0,0.0,-1.0,0.8126806217941224,302.0
300,2025-10-28 14:45:09.832,25675.260640000008,0.26406,-2.2683110060328745e-06,2.8790151465678365e-07,3.263066580948165e-05,-0.07833772713397193,114630.72075337778,114657.71924586219,-26.99849248440296,0.0,2.0,0.0,0.0,0.0,-1.0,0.8126950707828501,301.0
301,2025-10-28 14:45:09.840,25670.816640000005,0.05015,-4.0132507074480645e-05,-1.138505968758922e-06,3.205402233508737e-05,-1.2165088168200784,114629.94734829418,114656.56779517817,-26.620446883986006,-1.0,2.0,-2.2683110060328745e-06,0.0,0.0,-1.0,0.8127315565370425,302.0
302,2025-10-28 14:45:09.918,25665.607839999997,0.05904,-6.979950096189706e-05,-3.1451313224829546e-06,3.321417866981326e-05,-2.0068046833219215,114628.80950559949,114655.30327730346,-26.493771703972016,-1.0,0.0,-4.0132507074480645e-05,-2.2683110060328745e-06,0.0,-1.0,0.8128016957466713,304.0
305,2025-10-28 14:45:10.425,25655.292,0.0500100000000001,-0.0001115276770874021,-1.5617545802623735e-05,3.533921401098854e-05,-2.7139859675872673,114622.15488164421,114650.36800679048,-28.213125146270613,-1.0,-3.0,-6.30015308184193e-05,-5.2352823137971897e-05,-6.979950096189706e-05,-1.0,0.8130369796044825,306.0
306,2025-10-28 14:45:10.472,25651.192400000014,0.05227,-0.00011319847540642328,-2.1193929656993838e-05,4.107840084246819e-05,-2.239730453273345,114618.52108339238,114648.19200656783,-29.670923175450298,-1.0,-5.0,-0.0001115276770874021,-6.30015308184193e-05,-5.2352823137971897e-05,-1.0,0.8131354423987638,312.0
312,2025-10-28 14:45:11.504,25656.10560000001,0.05726,-4.9755560543264e-05,-3.2299324181222506e-05,4.0787942110337376e-05,-0.42797540280263197,114595.18144965409,114633.50451618008,-38.323066525990725,-1.0,-12.0,-8.728828163762347e-08,-4.4341462084901905e-05,-1.4052690870094952e-05,-1.0,0.8132447786816036,314.0
314,2025-10-28 14:45:11.505,25653.285839999997,0.06073,-6.293996598697958e-05,-3.478710220838571e-05,4.02277472094779e-05,-0.6998369366724918,114588.29320481888,114628.58361215342,-40.29040733454167,0.0,-14.0,0.0,-4.9755560543264e-05,-8.728828163762347e-08,1.0,0.8132447786816036,316.0
317,2025-10-28 14:45:11.561,25654.873999999996,3.28658,-6.293996598697958e-05,-2.864559810792992e-05,4.2768911767783975e-05,-0.8018527017372709,114579.04786868078,114621.3411276735,-42.29325899272226,1.0,-14.0,6.293996598694754e-05,0.0,-6.293996598697958e-05,-1.0,0.8133065653950702,320.0
319,2025-10-28 14:45:11.588,25658.28624,0.05755,-4.452214188673854e-06,-3.17925964072789e-05,4.2865688569094745e-05,0.6378150814769314,114573.77841404482,114616.73971121511,-42.96129717028816,0.0,-13.0,0.0,-6.293996598697958e-05,6.293996598694754e-05,-1.0,0.8133355403674543,320.0
320,2025-10-28 14:45:11.588,25649.50600000001,0.06654,-8.284971960466011e-05,-3.201520711671259e-05,4.270314550015083e-05,-1.1904161032057117,114571.46523175485,114614.53480265068,-43.06957089583739,-1.0,-13.0,-4.452214188673854e-06,0.0,-6.293996598697958e-05,-1.0,0.8133951736867456,323.0
322,2025-10-28 14:45:11.620,25650.10256,0.06262,-4.985349316654284e-05,-3.470991094654203e-05,4.381817146795837e-05,-0.34560049574165136,114565.61058653856,114609.67690621527,-44.06631967671274,-1.0,-14.0,-1.3445175072442147e-05,-8.284971960466011e-05,-4.452214188673854e-06,-1.0,0.8134597075708732,324.0
327,2025-10-28 14:45:11.742,25650.633040000015,0.05144,-2.4361957922010376e-05,-2.043691551680068e-05,3.314527286995949e-05,-0.11841936221663585,114550.24109479113,114596.96237896332,-46.7212841721921,0.0,-13.0,0.0,0.0,-4.776168613438611e-05,-1.0,0.8135443296191511,328.0
328,2025-10-28 14:45:11.742,25648.897039999996,0.07401,-2.977653236606661e-05,-2.1035306668599163e-05,3.310043039714974e-05,-0.2640819246633072,114547.49622862054,114594.48557965305,-46.98935103250551,-1.0,-12.0,-2.4361957922010376e-05,0.0,0.0,-1.0,0.8135733841572241,330.0
330,2025-10-28 14:45:11.854,25647.307280000008,0.11858,-3.3008998098653605e-05,-2.2646703266429693e-05,3.274374128555383e-05,-0.31646641764049815,114541.96725290707,114589.49103003822,-47.52377713115129,-1.0,-13.0,-1.65040904606389e-05,-2.977653236606661e-05,-2.4361957922010376e-05,-1.0,0.813622075639668,331.0
